"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日","Position"  ,"Job Description" ,"Company Summery" ,"English Requirement" ,"Type of Industry" ,"Location" ,"Requried Skills" ,"Education" ,"Consultant's Comment" ,"Japanese Requirement"  
"1020734","1","0","外資系","1","","","","","05","00","人事","","05","00","人事","","","","","","株式会社アサイアン","人事マネージャー","人事マネージャーとして、人事業務全般を担当いただきます。採用・教育・制度企画・労務管理等、プレイングマネージャーとして、自ら手を動かしていただきます。2012年にサービスを開始して以来、業績の向上とともに組織も成長中の中、人事・組織面で発生する様々な課題に対して適切に対応することが望まれます。経営陣と連携し、経営課題の解決に向けて、人事業務を推進して頂きます。部下マネジメント（1～2名）。","グローバル企業において基本的に人事関連の殆どの分野を経験されている方。特に人事制度、教育に関する経験が豊富な方が望ましい。国際的なコミュニケーション能力。ビジネス英語力必須。","","ビジネスレベル","","多岐にわたる相談に応えられる人間力、全ての分野にわたって充分な専門性がある必要はなく、相談に対し真摯に対応する姿勢がある方。","外資系企業で人事（マネージャークラス）の経験。","東京都","港区","","","大卒以上","33","45","600","800","グループ間での人事異動による補充。","1004119","その他サービス","通信会社のアフターサービスを通信会社のサービスとして一般ユーザーに提供する企業。世界中の大手ワイアレス・キャリアとそのサービス加入者に「新しい価値」と「安心」をお届けしています。なお、ワイアレス・キャリアに対しては、さらなる利益確保と顧客保持を実現する、付加価値の高いソリューションを提供しています。","モバイルキャリア市場における競合相手なし。米国でも大手通信キャリアが顧客、日本では同社のグループ会社が別の大手通信キャリアのアフターセールスをサポートしており、日本の顧客2社だけでグローバルの中における日本市場の売上比率は50%超。そのため、日本の発言力は高く、日本で新しいサービスを開発して海外に展開することも起きています。<BR>ビジネスは非常に好調で、毎日1万人のペースで会員が増加中。<BR><BR>","2010","5","","160","東京都","港区虎ノ門5-11-2　オランダヒルズ森タワー19F","サービス開始から2年、まだまだ人事・組織面で解決する課題が多く、ご活躍余地が沢山あります。","奈良","2013/11/25 10:38:19","","","","Business Level","Other Service","Tokyo","","Bachelor","",""
"1020738","1","0","外資系","1","","","","","08","04","営業","企画営業","07","03","その他企画・事務・管理","企画系","","","","","株式会社フィリップスエレクトロニクスジャパン","自動車照明セールス","自動車照明業界でNO.1のPHILIPSにおいて、最も重要な日本のお客様を、世界規模で担当する営業マネージャー（International Key Account Manager）を募集します。このポジションの存在意義は、最重要顧客のニーズに合った製品やサービスの提供により、当社製品の売上げやシェアを伸ばすことで、主な業務は以下です。・中長期的な最重要顧客との関係構築・営業戦略及び販売計画策定、実行・予算策定と見直し","・5年以上の製造業等でのセールス、アカウントマネージャー経験・戦略立案・実施経験・ビジネスレベルの英語力あれば尚可（TOEIC700点程度）・自動車免許・PCスキル","","ビジネスレベル","","・勝ちにこだわるマインドをお持ちの方<BR>・強いセールスマインドをお持ちの方<BR>・上昇志向の強い方","メーカーでのアカウント営業経験","東京都","港区","","","大卒以上","28","35","500","800","増員","351","電気・電子・半導体","オランダ本社。ヨーロッパ生まれのグローバル企業として、優れたデザインの製品を販売しています。主力事業は家電、照明機器、医療機器の３事業でいずれも50カ国以上の拠点でサービスを展開しております。","男女年齢を問わずポジションアップしていける社風と制度。外資ではあるが、平均年齢37歳の落ち着いた日本企業のような雰囲気が特徴です。社員の8割がヘルスケア事業、2割はライティング事業、10名強がコンシューマーライフスタイル事業となっています。ヘルスケア分野ではAEDや呼吸器、コンシューマーライフスタイル分野ではクロモノ家電の取り扱いも開始し、より住環境にフォーカスした製品展開を行っている。","1953","7","300000","881","東京都","港区港南2-13-37　フィリップスビル","重要グローバルクライアントをお任せします","越山","2013/11/25 10:38:17","","","","Business Level","Electronics・Semiconductor","Tokyo","","Bachelor","",""
"1020760","1","0","ハイクラス/外資系","1","","","","","04","01","マーケティング・広報・IR","マーケティング","04","01","マーケティング・広報・IR","マーケティング","11","0","WEB・モバイル関連","","コーチ・ジャパン株式会社","CRMディレクター/シニアマネージャー","ダイレクトマーケティングとCRM戦略の立案と推進全般に携わっていただきます。DMやemail戦略の企画と実施、マーケティング予算管理、キャンペーン活動の効果分析、各種マーケティング関連データの分析、CRMチームのマネージメントなど。CRM・WEB・セールスプロモーション・リテール部門・外部ベンダーなど社内外の関係者と密にコミュニケーションを図りながら業務を推進していただく必要があります。","ダイレクトマーケティング経験（7年以上）、データベースマーケティング、emailマーケティング経験。リテール業界経験。SAS使用経験。ビジネスレベルの英語力。マネジメント経験。","","ビジネスレベル","","self-starter、proactive thinker and team player.","CRM、データベースマーケティング経験","東京都","港区","","","大卒以上","35","45","800","1400","組織強化","210308","流通・小売・販売","米国社製品のハンドバッグ、ビジネスバッグ、トラベルバッグ、スモールレザーグッズ、ベルト、時計等の日本における輸入及び販売。「ブランドがすべてにおける基準」、「お客様へのご満足が最優先」、「誠実さがすべての基本」、「革新こそが成功への原動力」、「コラボレーションが成功を生む」が同社の5つの理念です。<BR>","同社米法人は1941年、家族経営の皮革工房としてスタートしました。当時はＮＹマンハッタンのロフトで6人の職人が代々受け継がれてきた技法を用いて革製品を手作りしていました。今日のコーチは、最高のモダンアメリカンスタイルとして認識されています。「ファン」「フェミニン」「ファッショナブル」がコーチのキーワードです。","1991","1","433000","2000","東京都","港区六本木6丁目10番1号　六本木ヒルズ森タワー19階","ラグジュアリー業界経験がなくてもチャレンジできます。","呉","2013/11/25 10:38:16","","","","Business Level","Distribution・Retail","Tokyo","","Bachelor","",""
"1020703","0","0","","","","上場","","","02","06","ビジネスコンサルタント","その他","07","04","その他企画・事務・管理","その他","","","","","エムスリー株式会社","リサーチ ファシリテーター","・海外向け：海外リクエスト調査案件（定性インタビュー調査がメイン）に対する、日本でのフィールドワーク実施。Ex)医師とアポイント調整を行い、海外からのアンケート内容に沿って、実際にご自身で医師にインタビューを行って頂き、その結果を英訳して海外にフィードバック頂きます。海外チームと連携した調査案件の内容確認、ならびにオペレーション管理。Ex)海外で受注された日本医師に対する調査のスペック確認 （サポート内容、納品物、金額など）。当該プロジェクトの外部委託先との調整、実績管理など。国内実施調査を英訳及び海外チームへのレポート。	国内調査サービスの海外販売展開サポート。・国内向け：国内調査案件（定性インタビュー調査）の実施。チームリーダーサポート業務、海外チームとの連絡。定量およびインタビュー調査の集計まとめ及びレポート。海外調査サービスの国内販売展開サポート。","製薬会社、医療機器メーカーにおける業務経験（MR経験があれば尚可）。市場調査会社において、医療従事者に対してモデレーション業務経験をお持ちの方。薬剤師や看護師の方（医師とのコミュニケーションをスムーズに行える方）。英語での読解力があり、コミュニケーションがとれる方、ネイティブレベルの方（ビジネス経験不問）。ビジネスマナー、社内外との高いコミュニケーションスキル。各部門やクライアントとの連絡調整をスムーズに行える方。","※英語力の目安：TOEFL　IBT：101　CBT：253　PBT：607程度","ビジネスレベル","","協調性があり、チームワークを大切にできる方。コミュニケーション能力の高い方。","望ましい条件の欄に記載。","東京都","港区","","","大卒以上","25","35","500","700","事業拡大に伴う増員","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員20万人、薬剤師会員7万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","医療従事者会員向けサービス／医療関連企業マーケティング支援m3.comは日本の医師（28万人）の半数以上（約20.5万人）が利用する国内最大（唯一）の医療情報ポータルサイト。薬剤師や看護師を含む医療従事者会員は51万人を超えています。内容としては情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。「MR君」とは医師と製薬会社を結ぶ医薬品情報の双方向サービスです。音声、動画も利用。その他のサービスとして「QOL君」（医師の生活に役立つライフスタイル（非医療分野）支援サービス）、医師・看護師・薬剤師転職サイト（エムスリーキャリア）、医師・看護師コミュニティサイト、セレクトショップ運営など。医療従事者以外の一般向けサービスとしてAskDoctors（ネットで医師に質問できるQ&Aサイト）、AskMoon（女性向けヘルスケアサイト）、AskMind（心の健康をサポート）等。利用者は約20万人。その他海外展開としてMR君という日本発のビジネスモデルを武器に、アメリカ、韓国、イギリスに展開中。","2000","9","132691","130","東京都","港区赤坂1-11-44　赤坂インターシティ10階","成長意欲が高いメンバーの多い、刺激ある環境です。","堂谷","2013/11/21 10:48:31","","","","Business Level","Internet","Tokyo","","Bachelor","",""
"1020693","0","0","","","","上場","","","02","06","ビジネスコンサルタント","その他","02","05","ビジネスコンサルタント","金融戦略","","","","","楽天株式会社","【開発部門】システム投資プログラムマネージャー（楽天銀行）","1) ポジション概要：同社銀行は400万口座を超える規模となり、また各種決済サービスに加え外貨預金、投資信託、FX等の金融商品、更にはカードローンや住宅ローンなど、預金・決済業務に加え、本格的に貸金の業務を拡大しており、今後も更なるサービス拡大を行う計画をしています。重要なプロジェクトも増える中で、情勢を鑑みた複雑なシステム投資プログラムをコントロールすることの重要性が増してきており、仕組みの構築から、実際のマネジメントまで担って頂くポジションを募集いたします。2) ポジションの責任：■システム投資計画の策定・管理 ■経営レポートの作成 ■開発組織課題管理 ■リソース管理 ■各種管理プロセス改善","プロジェクトマネージャ、及び、プロジェクトリーダ経験2年以上。チーム、及び、グループのマネジメント経験1年以上。業務に必要な語学：英語ビジネスレベル、日本語ネイティブレベル、TOEICスコア800点以上保有。","業務改善経験。コンサルティングファームでにおける就業経験。","ビジネスレベル","800","コミュニケーション能力が高い方。","プロジェクトマネージャ、及び、プロジェクトリーダ経験2年以上。チーム、及び、グループのマネジメント経験1年以上。業務改善経験。コンサルティングファームでにおける就業経験。","東京都","品川区","","","大卒以上","25","35","500","800","業務拡大のため増員","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする<BR>世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","10825500","3498","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","グローバル化が進む中、同社の品質の更なる向上に向け大きな変革期を迎えています。この非常に大事なタイミングでの参画にやりがいを感じる方お待ちしています。","岡田","2013/11/21 10:48:29","","","","TOEIC 800","Internet","Tokyo","","Bachelor","",""
"1020692","0","0","","","","上場","","","07","03","その他企画・事務・管理","企画系","02","04","ビジネスコンサルタント","業務プロセス系","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","楽天株式会社","【開発部門】オペレーションマネージャー（楽天銀行）","1) ポジション概要：同社銀行は400万口座を超える規模となり、また各種決済サービスに加え外貨預金、投資信託、FX等の金融商品、更にはカードローンや住宅ローンなど、預金・決済業務に加え、本格的に貸金の業務を拡大しており、今後も更なるサービス拡大を行う計画をしています。 サービスの拡大に伴って、運用業務も増加傾向にあり、ITIL V3のフレームワークを活用して運用業務を仕組み化し、メンバをマネジメントするリーダーを募集します。2) ポジションの責任：■オペレーション戦略の策定 ■オペレーション管理プランの策定 ■オペレーションメンバ管理","ITIL V3に即した運用管理業務経験1年以上。運用メンバのマネジメント1年以上。業務に必要な語学：英語ビジネスレベル、日本語ネイティブレベル、TOEICスコア800点以上保有。","システムアウトソーシングを主業務とする企業における業務経験。コンサルティングファームにおける業務経験。","ビジネスレベル","800","コミュニケーション能力が高い方。","ITIL V3に即した運用管理業務経験1年以上。運用メンバのマネジメント1年以上。システムアウトソーシングを主業務とする企業における業務経験。コンサルティングファームにおける業務経験。","東京都","品川区","","","大卒以上","25","35","500","800","サービスの拡大に伴って増員","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする<BR>世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","10825500","3498","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","運用業務も増加傾向にあり、ITIL V3のフレームワークを活用して運用業務を仕組み化し、メンバーをマネジメントするリーダーの募集です。","岡田","2013/11/21 10:48:28","","","","TOEIC 800","Internet","Tokyo","","Bachelor","",""
"1020687","0","0","","","","上場","","","10","08","ITエンジニア","WEBアプリケーション","10","02","ITエンジニア","オープン系システム","11","00","WEB・モバイル関連","","楽天株式会社","【開発部門】モバイルエンジニア（楽天銀行）","1) ポジション概要： 同社銀行は400万口座を超える規模となり、また各種決済サービスに加え外貨預金、投資信託、FX等の金融商品、更にはカードローンや住宅ローンなど、預金・決済業務に加え、本格的に貸金の業務を拡大しており、今後も更なるサービス拡大を行う計画をしています。 スマートフォンで同様のサービスを提供するのはもちろんのこと、スマートフォンユーザへの新しい価値を提供する計画もあります。 エンジニアとして一緒に新しいサービスを作ってくれるメンバーを募集します。 2) ポジションの責任：■スマートフォンサービスのアプリケーション設計 ■コーディング ■メンバが作成したソースコード、ドキュメントレビュー","iOS、Android向けサービス構築プロジェクトでのエンジニア経験:2年以上。エンジニアリードとしての業務経験:2年以上。","ＪａｖａやC言語でのシステムの開発経験、Java FWを使った開発経験。大量データを取り扱っているシステムの開発経験。Ｏｒａｃｌｅ（パフォーマンス改善のための提案ができるレベル）の経験。携帯・スマートフォン向けＷｅｂ／アプリの開発経験。業務に必要な語学：英語ビジネスレベル、日本語ネイティブレベル、TOEICスコア800点以上保有。","ビジネスレベル","800","コミュニケーション能力が高い方。","iOS、Android向けサービス構築プロジェクトでのエンジニア経験:2年以上。エンジニアリードとしての業務経験:2年以上。ＪａｖａやC言語でのシステムの開発経験、Java FWを使った開発経験。大量データを取り扱っているシステムの開発経験。Ｏｒａｃｌｅ（パフォーマンス改善のための提案ができるレベル）の経験。携帯・スマートフォン向けＷｅｂ／アプリの開発経験。","東京都","品川区","","","大卒以上","25","35","500","800","増員","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする<BR>世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","10825500","3498","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","グローバル化が進む中、同社の品質の更なる向上に向け大きな変革期を迎えています。この非常に大事なタイミングでの参画にやりがいを感じる方お待ちしています。","岡田","2013/11/21 10:48:25","","","","TOEIC 800","Internet","Tokyo","","Bachelor","",""
"1020685","0","0","","","","上場","","","10","08","ITエンジニア","WEBアプリケーション","10","02","ITエンジニア","オープン系システム","11","00","WEB・モバイル関連","","楽天株式会社","【開発部門】福岡支社：アプリケーションJavaエンジニア","1) ポジション概要：クレジットカード課はクレジットカード事業の基幹系システム、Webシステム(e-NAVI、カード申し込み等)、および周辺システム間のデータHUBシステム等の重要なシステムを開発、運用しています。今回はアプリケーションエンジニアとして、主にWeb層の設計、開発に携わっていただき、Java系の最新・先端技術に触れ、それを駆使し、現在のシステムの刷新、機能拡張、継続安定運用など、同社カードのWebシステム、サービスを強化、推進する仕事を期待しております。 同社カードシステムの開発と運用業務を担当されます。開発:同社カードシステムにかかわる新規案件の開発、管理業務(特に技術領域において)。運用:同社カードシステムの安定運用にかかわる業務推進。","HTML、JavaScript、Servlet,、JSF。 業務に必要な語学：英語ビジネスレベル、日本語ビジネスレベル、TOEICスコア800点以上保有。","JSF 2.0, Facelet, CSS。JavaEE 6。大容量システム開発経験。大規模システム開発経験。金融業界の知識。3年以上の開発経験。","ビジネスレベル","800","コミュニケーション能力が高い方。","HTML、JavaScript、Servlet,、JSF。JSF 2.0, Facelet, CSS。JavaEE 6。大容量システム開発経験。大規模システム開発経験。金融業界の知識。3年以上の開発経験。","福岡県","福岡市","","","大卒以上","25","35","500","800","増員","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする<BR>世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","10825500","3498","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","グローバル化が進む中、同社の品質の更なる向上に向け大きな変革期を迎えています。この非常に大事なタイミングでの参画にやりがいを感じる方お待ちしています。","岡田","2013/11/21 10:48:22","","","","TOEIC 800","Internet","Fukuoka","","Bachelor","",""
"1020683","0","0","","","","上場","","","10","08","ITエンジニア","WEBアプリケーション","10","02","ITエンジニア","オープン系システム","11","00","WEB・モバイル関連","","楽天株式会社","【開発部門】福岡支社：アプリケーションエンジニア（楽天カード","1) ポジション概要 イントラチームメンバーの募集。SEとして、機能拡張、安定運用に従事。 ■社内ＨＰ■BIツール■ワークフローシステム■メールシステム■データ中継システム 2) ポジションの責任： システム設計、開発、テスト、リリース、運用までの開発にかかわる一連の業務と進捗管理 。イントラシステムのアーキテクチャ改善。現行システムの安定運用。","windows ,Linuxサーバ関連基本知識。MS Sqlサーバ、オラクルサーバの運用経験。 JAVA、J2EE、VB、ASP関連知識。IIS、Tomcat、Weblogic関連知識。業務に必要な語学：英語ビジネスレベル、日本語ビジネスレベル、TOEICスコア800点以上保有。","3年以上の開発経験。大容量システム開発経験。 BI関連知識。金融業界の知識。","ビジネスレベル","800","コミュニケーション能力が高い方。","windows ,Linuxサーバ関連基本知識。MS Sqlサーバ、オラクルサーバの運用経験。 JAVA、J2EE、VB、ASP関連知識。IIS、Tomcat、Weblogic関連知識。3年以上の開発経験。大容量システム開発経験。 BI関連知識。金融業界の知識。","福岡県","福岡市","","","大卒以上","25","35","500","800","増員","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする<BR>世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","10825500","3498","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","グローバル化が進む中、同社の品質の更なる向上に向け大きな変革期を迎えています。この非常に大事なタイミングでの参画にやりがいを感じる方お待ちしています。","岡田","2013/11/21 10:48:17","","","","TOEIC 800","Internet","Fukuoka","","Bachelor","",""
"1020681","0","0","","","","上場","","","11","00","WEB・モバイル関連","","10","08","ITエンジニア","WEBアプリケーション","10","02","ITエンジニア","オープン系システム","楽天株式会社","【開発部門】アプリケーションエンジニア／プロデューサー（競馬","1) ポジション概要：同社競馬では、ProducerとEngineerを募集します。業界2位の事業成長フェーズにあり（GMS 300億／年）、馬券発売サイトの更なる機能拡張が必要です。また金融システムと同様、ミッションクリティカルな部分も多く、質の高いシステムが求められます。 プロデューサーとしては最初の企画から売り上げまでを体験でき、エンジニアとしては単なる開発のみならず、安定したシステムを維持するための高いスキルを経験できます。2) ポジションの責任：同社競馬システム全般の企画、開発、運用、保守を行う。 ■新しい企画、サービスの立案、要件定義 ■開発および開発者（PS）のサポート ■システム安定稼動のための運用・保守","(PRO) Webサイトの開発、機能追加のプロジェクトに1年以上従事したことがある。(ENG) 10人月規模以上のプロジェクトに、SEとして参加したことがある。 (ENG) 1年以上のPHP&MySQLの運用、開発経験がある。業務に必要な語学：英語ビジネスレベル、日本語ネイティブレベル、TOEICスコア800点以上保有。","公営ギャンブルに興味がある（競馬、競輪等、問わず）。","ビジネスレベル","800","コミュニケーション能力の高い方。","(PRO) Webサイトの開発、機能追加のプロジェクトに1年以上従事したことがある。(ENG) 10人月規模以上のプロジェクトに、SEとして参加したことがある。 (ENG) 1年以上のPHP&MySQLの運用、開発経験がある。","東京都","品川区","","","大卒以上","25","35","500","800","増員","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする<BR>世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","10825500","3498","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","グローバル化が進む中、同社の品質の更なる向上に向け大きな変革期を迎えています。この非常に大事なタイミングでの参画にやりがいを感じる方お待ちしています。","岡田","2013/11/21 10:48:15","","","","TOEIC 800","Internet","Tokyo","","Bachelor","","Native"
"1020695","0","0","","","","上場","","","10","05","ITエンジニア","ERP・SCM・CRM","10","06","ITエンジニア","社内システム関連","10","06","ITエンジニア","社内システム関連","楽天株式会社","【開発部門】アプリケーションエンジニア（楽天24）","■同社24という日用品のおまとめ配送のシステムの開発を担当して頂きます。注文管理、在庫管理、発注、在庫計画システムなどが対象になります。【ポジションの責任】同社24は同社サイトに出店している一店舗になります。同社サイトのRMSシステムの他、注文管理、在庫計画、発注、データ分析、などのシステムを利用しております。RMS以外のシステムの要件定義から運用までのシステム開発に関するすべての工程を担当して頂きます。仕様の決定、最適なシステムアーキテクチャーの選定、プロジェクトマネージメントなど、意思決定の幅が広くエンジニアとしての経験を大いに発揮して頂くことができます。スクラッチでの開発だけでなく、予算、工期を考慮しながら、既存のパッケージ、ｓａａｓと組み合わせを行いながらベストプラクティスを考えるものになります。","業務システムの開発,設計,運用の経験。オブジェクト指向言語（Java、PHP、C++など）での開発経験。プロジェクトマネジメント能力。コミュニケーション能力。問題解決能力。コスト意識。エンジニアとしてのセンス。　業務に必要な語学：英語ビジネスレベル、日本語ネイティブレベル、TOEICスコア800点以上保有。","要件定義経験。Webアプリケーション構築経験。小売のシステムを構築,運用を行ったことがある経験。物流のシステムを構築,運用を行ったことがある経験。","ビジネスレベル","800","プロジェクトマネジメント能力、問題解決能力、コミュニケーション能力が高い方","業務システムの開発,設計,運用の経験。オブジェクト指向言語（Java、PHP、C++など）での開発経験。要件定義経験。Webアプリケーション構築経験。小売のシステムを構築,運用を行ったことがある経験。","東京都","品川区","","","大卒以上","25","35","500","800","増員","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする<BR>世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","10825500","3498","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","日用品のおまとめ配送のシステムの開発を担当して頂くポジションです。","岡田","2013/11/21 10:48:12","","","","TOEIC 800","Internet","Tokyo","","Bachelor","",""
